HOUR,NGPRICE
1256,3.385
1257,3.36
1258,3.335
1259,3.31
1260,3.285
1261,3.2600000000000002
1262,3.2350000000000003
1263,3.21
1264,3.185
1265,3.16
1266,3.1508333333333334
1267,3.1416666666666666
1268,3.1325000000000003
1269,3.1233333333333335
1270,3.1141666666666667
1271,3.105
1272,3.095833333333333
1273,3.086666666666667
1274,3.0775
1275,3.0683333333333334
1276,3.0591666666666666
1277,3.05
1278,3.0408333333333335
1279,3.0316666666666667
1280,3.0225
1281,3.013333333333333
1282,3.0041666666666664
1283,2.995
1284,2.9858333333333333
1285,2.9766666666666666
1286,2.9675
1287,2.9583333333333335
1288,2.9491666666666667
1289,2.94
1290,2.9341666666666666
1291,2.9283333333333332
1292,2.9225
1293,2.9166666666666665
1294,2.910833333333333
1295,2.905
1296,2.8991666666666664
1297,2.893333333333333
1298,2.8874999999999997
1299,2.8816666666666664
1300,2.875833333333333
1301,2.87
1302,2.8641666666666667
1303,2.8583333333333334
1304,2.8525
1305,2.8466666666666667
1306,2.8408333333333333
1307,2.835
1308,2.8291666666666666
1309,2.8233333333333333
1310,2.8175
1311,2.8116666666666665
1312,2.805833333333333
1313,2.8
1314,2.7966666666666664
1315,2.793333333333333
1316,2.79
1317,2.7866666666666666
1318,2.783333333333333
1319,2.78
1320,2.7766666666666664
1321,2.7733333333333334
1322,2.77
1323,2.7666666666666666
1324,2.763333333333333
1325,2.76
1326,2.756666666666667
1327,2.7533333333333334
1328,2.75
1329,2.7466666666666666
1330,2.7433333333333336
1331,2.74
1332,2.736666666666667
1333,2.7333333333333334
1334,2.73
1335,2.726666666666667
1336,2.7233333333333336
1337,2.72
1338,2.7175000000000002
1339,2.7150000000000003
1340,2.7125000000000004
1341,2.71
1342,2.7075
1343,2.705
1344,2.7025
1345,2.7
1346,2.6975000000000002
1347,2.6950000000000003
1348,2.6925000000000003
1349,2.6900000000000004
1350,2.6875
1351,2.685
1352,2.6825
1353,2.68
1354,2.6775
1355,2.6750000000000003
1356,2.6725000000000003
1357,2.67
1358,2.6675
1359,2.665
1360,2.6625
1361,2.66
1362,2.660555555555556
1363,2.6611111111111114
1364,2.6616666666666666
1365,2.6622222222222223
1366,2.662777777777778
1367,2.6633333333333336
1368,2.663888888888889
1369,2.6644444444444444
1370,2.665
1371,2.6655555555555557
1372,2.6661111111111113
1373,2.666666666666667
1374,2.667222222222222
1375,2.667777777777778
1376,2.6683333333333334
1377,2.668888888888889
1378,2.6694444444444443
1379,2.67
1380,2.6705555555555556
1381,2.671111111111111
1382,2.671666666666667
1383,2.672222222222222
1384,2.6727777777777777
1385,2.6733333333333333
1386,2.673888888888889
1387,2.6744444444444446
1388,2.675
1389,2.6755555555555555
1390,2.676111111111111
1391,2.6766666666666667
1392,2.6772222222222224
1393,2.677777777777778
1394,2.6783333333333337
1395,2.678888888888889
1396,2.6794444444444445
1397,2.68
1398,2.680555555555556
1399,2.6811111111111114
1400,2.6816666666666666
1401,2.6822222222222223
1402,2.682777777777778
1403,2.6833333333333336
1404,2.683888888888889
1405,2.684444444444445
1406,2.6850000000000005
1407,2.6855555555555557
1408,2.6861111111111113
1409,2.686666666666667
1410,2.6872222222222226
1411,2.6877777777777783
1412,2.6883333333333335
1413,2.688888888888889
1414,2.6894444444444447
1415,2.6900000000000004
1416,2.690555555555556
1417,2.6911111111111112
1418,2.691666666666667
1419,2.6922222222222225
1420,2.692777777777778
1421,2.6933333333333334
1422,2.693888888888889
1423,2.6944444444444446
1424,2.6950000000000003
1425,2.695555555555556
1426,2.696111111111111
1427,2.6966666666666668
1428,2.6972222222222224
1429,2.697777777777778
1430,2.6983333333333337
1431,2.698888888888889
1432,2.6994444444444445
1433,2.7
1434,2.7070833333333333
1435,2.714166666666667
1436,2.7212500000000004
1437,2.7283333333333335
1438,2.7354166666666666
1439,2.7425
1440,2.7495833333333337
1441,2.756666666666667
1442,2.76375
1443,2.7708333333333335
1444,2.777916666666667
1445,2.785
1446,2.7920833333333333
1447,2.799166666666667
1448,2.8062500000000004
1449,2.8133333333333335
1450,2.8204166666666666
1451,2.8275
1452,2.8345833333333337
1453,2.841666666666667
1454,2.84875
1455,2.8558333333333334
1456,2.862916666666667
1457,2.87
1458,2.8695833333333334
1459,2.8691666666666666
1460,2.86875
1461,2.868333333333333
1462,2.867916666666667
1463,2.8675
1464,2.8670833333333334
1465,2.8666666666666667
1466,2.86625
1467,2.8658333333333332
1468,2.8654166666666665
1469,2.865
1470,2.8645833333333335
1471,2.8641666666666667
1472,2.86375
1473,2.8633333333333333
1474,2.8629166666666666
1475,2.8625
1476,2.862083333333333
1477,2.8616666666666664
1478,2.86125
1479,2.8608333333333333
1480,2.8604166666666666
1481,2.86
1482,2.857083333333333
1483,2.8541666666666665
1484,2.85125
1485,2.848333333333333
1486,2.8454166666666665
1487,2.8425
1488,2.839583333333333
1489,2.8366666666666664
1490,2.8337499999999998
1491,2.830833333333333
1492,2.8279166666666664
1493,2.825
1494,2.8220833333333335
1495,2.819166666666667
1496,2.81625
1497,2.8133333333333335
1498,2.810416666666667
1499,2.8075
1500,2.8045833333333334
1501,2.8016666666666667
1502,2.79875
1503,2.7958333333333334
1504,2.7929166666666667
1505,2.79
