HOUR,TOTALLOAD,NGPRICE,WIND,PRICE
69,95.90475930468988,5.9750000000000005,0.2365965639810426,160.42223053892212
70,93.51712377835332,5.90875,0.2214671436383521,162.99693113772452
71,90.40821275641696,5.8425,0.2051642818082391,133.65059880239517
72,87.78530028934361,5.77625,0.1951273696682464,151.51586826347304
73,86.56369136238153,5.71,0.1808011301494713,140.11362275449096
74,86.09036298868239,5.643750000000001,0.1632450783813343,135.35830838323352
75,86.02377517526635,5.577500000000001,0.1546721199416697,140.5077095808383
76,86.8900641311944,5.51125,0.1434845515858549,143.31886227544908
77,89.0581448394064,5.445,0.1409098158950054,165.09872754491013
78,93.33298997764308,5.37875,0.1365692216551221,215.27911676646704
79,98.6301430179646,5.3125,0.1285601986875683,316.71706586826343
80,100.32119602950988,5.246250000000001,0.126253189938024,284.4807634730538
81,99.30055282276042,5.180000000000001,0.1226645096609551,271.6072604790418
82,97.58332710121968,5.1137500000000005,0.1124965822092599,253.74199101796404
83,95.49348707377156,5.0475,0.1073414145096609,233.7486526946107
84,93.3434405650264,4.98125,0.1047894640904119,220.1920658682634
85,91.479074272451,4.915000000000001,0.1045957892818082,189.13802395209572
